name,1,2,3,4,5,6,7,8,9,10,11,12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,V,,
nbo+C32_COOH+L3_CH3_NH3,4.587532423,151,22.28748,14.29801,22.28748,0.235156,1346.28,5725.06,3.74823,0.88142,0.121676,0.5529,,47804.45877,1.925484626,,6.814780058,3.744627614,0.512399503,27824.9,0.382450209,
whc+C36_COOH+L72_NO2_F,4.587483889,424,35.58271,31.9533,35.58271,0.235857,1104.07,4681.1,3.76623,0.88829,0.12289,0.576572,,110410.7185,2.274450847,,7.273707578,4.52248934,0.619682629,69478.4,0.394157794,
ith-d+C6_NH3+C36_COOH+L71_Cl_NH3+L15_F_COOH,4.557118031,827,28.53455,15.42188,28.53455,0.193188,1119.79,5796.38,4.70675,0.90929,0.123966,0.637397,,178904.9022,2.12101701,,7.234571693,4.551973078,0.563627054,105322,0.338652413,
rac+C32_NH3+L43_CF3_COOH,4.50554665,485,18.14713,17.24326,18.84445,0.300041,1642.1,5472.94,2.81259,0.84389,0.118327,0.550943,,238958.2032,3.012380234,,8.830292356,5.359265202,0.805832637,31728.9,0.669582803,
vcz+C24_NH3+L39_CF3_NH3,4.483700099,451,29.12786,26.11633,29.12786,0.199669,1163.11,5825.2,4.46974,0.89247,0.0989019,0.419749,,104738.8918,1.995451994,,6.655407227,4.203381481,0.529956776,89015.4,0.314040428,
sxb+C36_COOH+L16_CN_COOH,4.431336923,120,16.31886,14.39642,17.25846,0.304933,1783.14,5847.64,2.7342,0.83375,0.13608,0.637489,,65248.58755,2.388307061,,8.395035669,4.195902126,0.634010975,37737.9,0.439386425,
lcy+C36_COOH+L4_F_F,4.423267772,132,20.2185,18.06343,20.32191,0.249964,1258.1,5033.13,3.51907,0.87964,0.106369,0.496488,,41511.32151,1.962222768,,6.906218739,3.770660385,0.530067142,29518,0.383470137,
xai+C49_NH3+C32_COOH+E0+L76_NH3,4.422368356,214,23.81494,21.76562,23.81494,0.259543,1180.58,4548.68,3.37636,0.87631,0.121888,0.526553,,65572.01284,2.212444841,,7.145355751,4.236195928,0.604842582,13576.7,0.561726493,
smt+C36_COOH+L35_NH2_F,4.403925094,281,29.35516,28.00733,29.35516,0.266782,1298.74,4868.18,3.31518,0.88443,0.128385,0.574378,,97361.00777,2.408848834,,7.583402138,4.526043275,0.653270769,34203,0.486734586,
sxa+C24_NH3+L2_CH3_F,4.350412804,129,13.67146,11.3183,13.79804,0.290272,2051.53,7067.59,2.91819,0.84707,0.129225,0.546645,,76819.72138,2.358237216,,8.572659131,4.117900195,0.612645096,28692.6,0.463228224,
qtz-e+C24_NH3+L38_Cl_NH3,4.218122482,331,23.70754,19.64332,23.95487,0.189661,1149.5,6060.79,4.73334,0.89773,0.103066,0.445215,,72163.07075,1.807720262,,6.135029661,3.899706267,0.477913097,62464.8,0.30066774,
vmi+C36_COOH+L15_CH3_NH3,4.212674257,1163,29.66358,26.81899,30.47673,0.148392,987.603,6655.37,6.19663,0.91953,0.103762,0.457829,,170440.423,1.739189729,,6.742699315,4.314243104,0.454907505,124731,0.269271506,
