name,Second Number,GLD,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,V
ben+C49_COOH+C36_COOH+L66_OH_NH3+L68_F_COOH,208,51.94207,49.42037,51.94207,0.0696938,485.806,6970.58,13.8126,0.96265,0.0540916,0.0874686,2.039187493,2.039187493,0.0236845,0.0464587,,0.161554642,93571.3
ben+C25_COOH+C36_COOH+L73_F_F+L34_NO2_NH3,222,44.33734,36.19748,44.33734,0.0922825,589.48,6387.77,10.317,0.95208,0.0640351,0.128251,2.217607234,2.217607234,0.0290129,0.0523319,,0.216527318,88876.1
ben+C37_NH3+C36_COOH+L4_COOH_F+L73_F_F,171,19.99863,14.82422,19.99863,0.309472,1488.82,4810.83,2.72778,0.84417,0.193864,2.68904,7.842296931,7.842296931,0.316023,0.161189,,0.691049772,16756.1
ben+C18_COOH+C24_NH3+L72_OH_COOH+L40_NO2_F,141,47.20704,43.93998,47.20704,0.0858494,557.81,6497.55,11.1344,0.95588,0.0662014,0.158984,2.272283742,2.272283742,0.0294,0.0517541,,0.184509171,88534.4
ben+C32_NH3+C13_NH3+L15_F+L25_Br_COOH,130,29.05559,24.46431,29.05559,0.149439,901.437,6032.15,6.19411,0.92564,0.0784945,0.220825,2.896137927,2.896137927,0.0463377,0.0639993,,0.315905581,41416.3
ben+C54_COOH+C36_COOH+L49_COOH_COOH+L71_NH2_F,182,33.92124,25.67363,33.96978,0.142661,867.526,6081.02,6.49609,0.92674,0.0718401,0.172832,2.969139642,2.969139642,0.0474951,0.063985,,0.322424044,62420.9
ben+C19_NH3+C36_COOH+L25_CN_F+L36_CF3_F,111,31.17898,25.34298,31.67686,0.123687,789.094,6379.79,7.61401,0.94175,0.0657099,0.145468,2.353832785,2.353832785,0.032301,0.0548909,,0.252979863,48134.7
ben+C62_NH3+C24_NH3+L3_F_NH3+L13_Cl_NH3,109,63.04486,56.67246,63.04486,0.0386943,281.152,7265.97,25.2719,0.97788,0.047776,0.0644673,1.483578051,1.483578051,0.0149413,0.0402845,,0.078836792,285632
ben+C25_COOH+C24_NH3+L9_F+L39_CF3_F,113,49.97039,42.04367,50.41984,0.0713061,480.861,6743.62,13.5073,0.96315,0.0559326,0.0949008,1.835713975,1.835713975,0.0210896,0.045954,,0.146397017,124784
ben+C58_NH3+C24_NH3+L43_SH_NH3+L74_SH_NH3,78,40.80824,37.34517,40.89635,0.0799031,635.649,7955.25,11.9198,0.95243,0.0542921,0.0887776,2.235457388,2.235457388,0.0271821,0.0486381,,0.151184224,103973
ben+C37_NH3+C36_COOH+L44_CF3_COOH+L41_CH3_F,207,11.46451,9.50725,12.12937,0.60704,2185.2,3599.76,1.175,0.71327,0.344474,5.92009,16.34024539,16.34024539,0.986191,0.241414,,1.405886639,6257.9
ben+C58_COOH+C36_COOH+L23_NO2_F+L31_Br_NH3,144,35.29079,31.09282,35.90079,0.106999,781.533,7304.1,8.83652,0.9455,0.0588472,0.104592,2.100099753,2.100099753,0.0263688,0.0502239,,0.230942628,64054.8
ben+C58_NH3+C24_NH3+L76_COOH_COOH+L13_OH_COOH,142,56.26262,46.90325,56.26262,0.0462333,334.834,7242.28,21.0913,0.97512,0.0528305,0.0859011,1.627665646,1.627665646,0.0171829,0.0422271,,0.099507393,237649
ben+C32_NH3+C13_NH3+L43_NH2_F+L24_F_COOH,289,22.84506,19.96824,23.4482,0.192227,1124.92,5852.08,4.70429,0.90429,0.1048,0.446876,3.900659678,3.900659678,0.0790417,0.0810547,,0.47305101,26055.8
ben+C38_NH3+C36_COOH+L1_CN_NH3+L15_CF3_COOH,657,20.12211,16.66743,21.14721,0.23198,1362.64,5873.95,3.85469,0.89421,0.149711,1.2594,8.170430593,8.170430593,0.257773,0.126198,,0.653618814,26112.6
